"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"1640";"presbyterian healthcare service";2006-02-02;450;"STAT";"MED";"Nonprofit organization";2006
"1641";"suffolk county clerk s office";2006-02-15;7000;"DISC";"GOV";"Nonprofit organization";2006
"1645";"university of texas m d anderson cancer center";2006-02-22;4000;"PORT";"MED";"Nonprofit organization";2006
"1646";"ernst young";2006-02-13;38000;"PORT";"BSO";"US GA: State";2006
"1647";"the princeton review";2008-08-18;108000;"DISC";"EDU";"Nonprofit organization";2008
"1650";"california state university dominquez hills";2006-03-24;2486;"PORT";"EDU";"Nonprofit organization";2006
"1651";"university of nebraska lincoln unl";2006-03-29;342;"DISC";"EDU";"Nonprofit organization";2006
"1652";"los angeles county department of social services";2006-03-02;2e+06;"PHYS";"GOV";"Nonprofit organization";2006
"1654";"payday ok llc";2006-03-03;88;"HACK";"BSF";"US GA: State";2006
"1655";"long island university alpha chi national honors society";2006-03-10;51;"DISC";"EDU";"Nonprofit organization";2006
"1656";"audiolink llc audio link";2006-03-07;25;"HACK";"BSR";"Nonprofit organization";2006
"1657";"first horizon home loans";2006-03-06;8;"STAT";"BSF";"Nonprofit organization";2006
"1658";"mortgage institute of michigan";2006-03-16;67;NA;"BSF";"Nonprofit organization";2006
"1659";"ohio state workers";2007-06-15;1e+06;"PORT";"GOV";"Nonprofit organization";2007
"1660";"security mutual life insurance company of new york";2006-03-31;167;"PORT";"BSF";"Nonprofit organization";2006
"1661";"ernst young ibm";2006-03-15;84000;"PORT";"BSF";"Nonprofit organization";2006
"1662";"childnet";2007-04-11;12000;"PORT";"NGO";"Nonprofit organization";2007
"1665";"ross simons";2006-04-12;32000;"HACK";"BSR";"Nonprofit organization";2006
"1666";"fifth third bank";2006-04-13;1000;"INSD";"BSF";"Nonprofit organization";2006
"1667";"impac funding corporation";2006-04-21;4600;"PORT";"BSF";"Nonprofit organization";2006
"1669";"vassar brothers medical center";2006-07-17;257800;"PORT";"MED";"Nonprofit organization";2006
"1670";"u s department of defense";2006-04-28;14000;"HACK";"GOV";"Nonprofit organization";2006
"1672";"visiting nurse service of new york vnsny";2006-04-17;92;"PORT";"MED";"Nonprofit organization";2006
"1673";"pershing llc";2006-04-26;92541;"PORT";"BSF";"Nonprofit organization";2006
"1674";"amica mutual insurance";2006-04-26;751;"PORT";"BSF";"Nonprofit organization";2006
"1678";"sears roebuck company contractor compliance";2006-04-28;196;"DISC";"BSF";"Nonprofit organization";2006
"1680";"ohio university";2006-05-02;30000;"HACK";"EDU";"Nonprofit organization";2006
"1681";"columbus bank trust";2006-05-21;2000;"HACK";"BSF";"Nonprofit organization";2006
"1682";"university of california berkeley";2006-05-16;1200;"HACK";"EDU";"Nonprofit organization";2006
"1684";"u s department of education via contractor dti associates";2006-08-21;43;"PORT";"GOV";"Nonprofit organization";2006
"1685";"u s department of veterans affairs va medical center";2007-02-02;583000;"PORT";"MED";"Nonprofit organization";2007
"1686";"security savings bank";2006-05-25;13;"HACK";"BSF";"Nonprofit organization";2006
"1687";"cbcinnovis bank inc great florida bank";2006-05-01;518;NA;"BSF";"Nonprofit organization";2006
"1688";"countrywide home loans";2006-05-02;90;"INSD";"BSF";"Nonprofit organization";2006
"1689";"new york state department of taxation and finance";2006-05-05;38;"PORT";"GOV";"Nonprofit organization";2006
"1690";"annibell mortgage inc";2006-05-12;300;"STAT";"BSF";"Nonprofit organization";2006
"1691";"merrill lynch";2006-05-11;10500;"PORT";"BSF";"Nonprofit organization";2006
"1692";"liberty mutual insurance company";2006-05-23;384;"PORT";"BSF";"Nonprofit organization";2006
"1693";"ge money bank lowe s companies inc";2006-05-16;150;"PORT";"BSF";"Nonprofit organization";2006
"1694";"new york state insurance fund nysif";2006-05-24;37;"PORT";"GOV";"Nonprofit organization";2006
"1697";"frost bank";2006-05-19;9300;"HACK";"BSF";"Nonprofit organization";2006
"1698";"ahold usa parent company of stop shop giant stores and tops stores via subcontractor electronic data systems eds";2006-06-02;92000;"PORT";"BSR";"Nonprofit organization";2006
"1699";"colorado mental health institute fort logan";2006-06-07;69;"PHYS";"GOV";"Nonprofit organization";2006
"1700";"ohio university hudson health center";2006-05-11;70000;"HACK";"MED";"Nonprofit organization";2006
"1702";"fish richardson";2006-06-12;1924;"PORT";"BSO";"Nonprofit organization";2006
"1704";"new jersey department of labor and workforce development";2006-06-20;498;"DISC";"GOV";"Nonprofit organization";2006
"1705";"u s navy";2006-06-23;28000;NA;"GOV";"Nonprofit organization";2006
"1706";"social security administration";2006-06-24;228;"PORT";"GOV";"Nonprofit organization";2006
"1708";"washington regional medical center";2006-06-30;5000;"PORT";"GOV";"Nonprofit organization";2006
"1710";"northridge hospital medical center";2010-11-14;837;"PHYS";"MED";"Nonprofit organization";2010
"1711";"ecs learning systems";2010-11-15;1300;"HACK";"BSR";"Nonprofit organization";2010
"1713";"visiting nurse association of southeastern connecticut";2010-11-12;12000;"PORT";"MED";"Nonprofit organization";2010
"1714";"aetna of connecticut";2010-11-14;2345;NA;"MED";"Nonprofit organization";2010
"1715";"private dental practice";2010-11-14;4700;"PORT";"MED";"Nonprofit organization";2010
"1716";"barnard college";2006-06-12;2250;"HACK";"EDU";"Nonprofit organization";2006
"1717";"aramark corporation";2006-06-06;6028;"PORT";"BSO";"Nonprofit organization";2006
"1718";"kingsbrook jewish medical center";2006-06-05;34863;"PORT";"MED";"Nonprofit organization";2006
"1719";"empire beauty school inc";2006-06-27;1132;"PHYS";"EDU";"Nonprofit organization";2006
"1720";"empire state college";2006-06-06;16;"INSD";"EDU";"Nonprofit organization";2006
"1721";"cbcinnovis inc andover bank";2006-06-23;1122;NA;"BSF";"Nonprofit organization";2006
"1722";"university of rochester";2006-06-27;286;"DISC";"EDU";"Nonprofit organization";2006
"1723";"maimonides medical center vision financial corp";2006-06-27;560;"PORT";"MED";"Nonprofit organization";2006
"1724";"law finance group holdings llc";2006-06-14;1237;"STAT";"BSF";"Nonprofit organization";2006
"1727";"naval safety center united states navy";2006-07-07;1e+05;"DISC";"GOV";"Nonprofit organization";2006
"1728";"u s department of agriculture";2006-07-18;350;"PORT";"GOV";"Nonprofit organization";2006
"1729";"wolters kluwer";2006-07-24;8500;"PORT";"BSO";"Nonprofit organization";2006
"1730";"los angeles county community development commission cdc";2006-07-27;4800;"HACK";"GOV";"Nonprofit organization";2006
"1732";"sentry insurance";2006-07-29;112270;"INSD";"BSF";"Nonprofit organization";2006
"1733";"heritage centers";2006-07-24;31;"PHYS";"MED";"Nonprofit organization";2006
"1734";"new york state department of motor vehicles dmv new york state thruway authority";2006-07-13;57;"INSD";"GOV";"Nonprofit organization";2006
"1735";"group 1 automotive inc weinstein spira company p c";2006-07-19;14000;"PORT";"BSF";"Nonprofit organization";2006
"1736";"ulster county community college";2006-06-18;18;"PORT";"EDU";"Nonprofit organization";2006
"1737";"columbia university";2006-07-16;78;"STAT";"EDU";"Nonprofit organization";2006
"1738";"austin peay state university";2005-07-30;1500;"DISC";"EDU";"Nonprofit organization";2005
"1739";"rbs national bank asset acceptance llc";2006-07-05;1221;"PORT";"BSF";"Nonprofit organization";2006
"1740";"columbia university";2006-07-05;98;"DISC";"EDU";"Nonprofit organization";2006
"1741";"beaumont hospital";2006-08-22;28473;"PORT";"MED";"Nonprofit organization";2006
"1742";"verizon wireless";2006-08-25;5210;"DISC";"BSR";"Nonprofit organization";2006
"1743";"u s department of veterans affairs via contractor unisys corporation";2006-08-07;5000;"INSD";"GOV";"Nonprofit organization";2006
"1746";"bay view acceptance corporation";2006-08-10;68;"PORT";"BSF";"Nonprofit organization";2006
"1747";"fiduciary trust company international";2006-08-03;53;"PORT";"BSF";"Nonprofit organization";2006
"1748";"weyerhaeuser company";2006-08-10;1597;"PHYS";"BSR";"Nonprofit organization";2006
"1749";"manhasset lakeville fire district";2006-08-10;300;"STAT";"GOV";"Nonprofit organization";2006
"1750";"american heart association aha kgmg";2006-08-10;97;"PORT";"MED";"Nonprofit organization";2006
"1751";"hoffman la roche inc mccladrey and pullen llp";2006-08-09;26000;"PORT";"BSR";"Nonprofit organization";2006
"1752";"copart inc";2006-08-28;43764;"HACK";"BSR";"Nonprofit organization";2006
"1753";"q dental group pc";2006-08-17;106;"PORT";"MED";"Nonprofit organization";2006
"1754";"experian la walker company";2006-08-18;30;"HACK";"BSF";"Nonprofit organization";2006
"1755";"city of paris kentucky";2006-09-12;130;"PORT";"GOV";"Nonprofit organization";2006
"1756";"university of texas san antonio";2006-09-15;64000;"HACK";"EDU";"Nonprofit organization";2006
"1757";"private dental practice";2010-11-19;1400;"PORT";"MED";"Nonprofit organization";2010
"1758";"education department department of veterans affairs";2010-11-16;146;"PHYS";"GOV";"Nonprofit organization";2010
"1762";"monadnock community bank";2010-11-16;13;"HACK";"BSF";"Nonprofit organization";2010
"1763";"davidson companies";2008-01-30;226000;"HACK";"BSF";"Nonprofit organization";2008
"1765";"messiah college";2010-11-16;43000;"PORT";"EDU";"Nonprofit organization";2010
"1768";"kern county employee s retirment association";2010-04-12;37000;"INSD";"GOV";"Nonprofit organization";2010
"1770";"kaiser permanente";2005-03-11;140;"DISC";"MED";"Nonprofit organization";2005
"1771";"unitedhealth group";2010-10-11;1270;"PHYS";"MED";"Nonprofit organization";2010
"1772";"chautauqua county department of social services";2006-08-08;12;"PHYS";"GOV";"Nonprofit organization";2006
"1773";"illinois department of corrections idoc";2006-09-14;16500;"PHYS";"GOV";"Nonprofit organization";2006
"1774";"howard rice morris davis chan";2006-09-16;500;"PORT";"BSF";"Nonprofit organization";2006
"1775";"american online aol";2006-08-06;650000;"DISC";"BSO";"Nonprofit organization";2006
"1776";"discover bank";2006-09-09;11;"PORT";"BSF";"Nonprofit organization";2006
"1777";"olean area federal credit union";2006-09-18;11;"HACK";"BSF";"Nonprofit organization";2006
"1778";"action capital mortgage services inc";2006-09-09;923;"STAT";"BSF";"Nonprofit organization";2006
"1780";"liberty mutual insurance company";2006-09-07;672;"PORT";"BSF";"Nonprofit organization";2006
"1781";"mystic stamp company";2006-09-07;13;"HACK";"BSR";"Nonprofit organization";2006
"1782";"greenpoint mortgage funding inc";2006-09-14;44;"PORT";"BSF";"Nonprofit organization";2006
"1783";"cochlear americas";2006-09-18;480;"HACK";"BSR";"Nonprofit organization";2006
"1784";"kern medical center";2010-11-19;596;"PHYS";"MED";"Media";2010
"1785";"purdue university college of science";2006-09-22;2482;"STAT";"EDU";"Nonprofit organization";2006
"1786";"nationwide agribusiness farmland mutual insurance company";2006-09-29;306;"PORT";"BSF";"Nonprofit organization";2006
"1787";"columbia university";2006-09-15;1132;"INSD";"EDU";"Nonprofit organization";2006
"1788";"harlem hospital center new york city health and hospitals corporation";2006-09-15;4000;"PORT";"MED";"Nonprofit organization";2006
"1789";"disney worldwide services inc";2006-09-05;23;"PORT";"BSR";"Nonprofit organization";2006
"1790";"landamerica credit services inc diversified capital";2006-09-01;124;"HACK";"BSF";"Nonprofit organization";2006
"1791";"new york state banking department";2006-09-28;19640;"DISC";"BSF";"Nonprofit organization";2006
"1792";"north fork bank";2006-09-23;3570;"HACK";"BSF";"Nonprofit organization";2006
"1793";"movie gallery us";2006-09-25;3800;"PHYS";"BSR";"Nonprofit organization";2006
"1795";"stevens hospital emergency room via dishonest employee of billing company med data";2006-09-28;30;"INSD";"MED";"Nonprofit organization";2006
"1796";"florida labor department";2006-10-10;4624;"DISC";"GOV";"Nonprofit organization";2006
"1797";"sisters of st francis health services via advanced receivables strategy ars a perot systems company";2006-10-23;266200;"PORT";"MED";"Nonprofit organization";2006
"1798";"chicago board of election";2007-01-22;1300000;"PORT";"GOV";"Nonprofit organization";2007
"1799";"department of homeland security";2006-10-25;900;"PORT";"GOV";"Nonprofit organization";2006
"1800";"community national bank crowe chizek company llc";2006-10-31;90;"PORT";"BSF";"Nonprofit organization";2006
"1801";"homecoming financial network inc";2006-10-05;988;"DISC";"BSF";"Nonprofit organization";2006
"1802";"directv deloitte and touche llc";2006-10-11;55;"PORT";"BSR";"Nonprofit organization";2006
"1803";"bethpage federal credit union";2006-10-24;106;"PHYS";"BSF";"Nonprofit organization";2006
"1804";"western financial services inc";2006-10-03;43;"PORT";"BSF";"Nonprofit organization";2006
"1805";"new york university";2006-10-29;30000;"PORT";"EDU";"Nonprofit organization";2006
"1806";"bluecross blueshield of western new york healthnow new york inc administrative services of kansas";2006-10-20;96;"PORT";"BSF";"Nonprofit organization";2006
"1808";"mount sinai medical center";2006-10-23;311;"PORT";"MED";"Nonprofit organization";2006
"1809";"atlantis plastic inc";2006-10-09;720;"PORT";"BSR";"Nonprofit organization";2006
"1810";"lexisnexis";2006-10-27;449;"PORT";"BSO";"Nonprofit organization";2006
"1811";"st francis hospital";2010-04-08;60;"INSD";"MED";"Nonprofit organization";2010
"1812";"henry ford health system";2010-11-15;3700;"PORT";"MED";"Nonprofit organization";2010
"1813";"sta home health hospice";2010-11-24;1104;"STAT";"MED";"Nonprofit organization";2010
"1816";"prime home care llc";2010-12-03;1716;"STAT";"MED";"Nonprofit organization";2010
"1817";"manor care of indy south llc";2010-12-03;845;"PHYS";"MED";"Nonprofit organization";2010
"1818";"triple c inc tci triple s salud inc tss";2010-11-23;406000;"HACK";"MED";"Nonprofit organization";2010
"1821";"albrecht discount aldi";2010-09-19;25000;"CARD";"BSR";"Nonprofit organization";2010
"1822";"university of arizona";2010-12-02;8300;"PORT";"EDU";"Nonprofit organization";2010
"1823";"houston independent school district hisd";2010-10-27;30000;"HACK";"EDU";"Nonprofit organization";2010
"1824";"university of tennessee medical center";2010-11-27;8000;"PHYS";"MED";"Nonprofit organization";2010
"1826";"dartmouth college";2010-12-06;147;"PORT";"EDU";"Nonprofit organization";2010
"1827";"memorial hospital of gardena";2010-12-10;771;"PHYS";"MED";"Nonprofit organization";2010
"1828";"albert einstein healthcare network";2010-12-10;613;"STAT";"MED";"Nonprofit organization";2010
"1829";"kings county hospital center";2010-12-10;542;"STAT";"MED";"Nonprofit organization";2010
"1830";"newark beth israel medical center professional transcription company ptc inc";2010-12-10;1744;"DISC";"MED";"Nonprofit organization";2010
"1831";"ochsner health system h e l p financial corporation";2010-12-10;9475;"PHYS";"MED";"Nonprofit organization";2010
"1833";"university of wisconsin madison";2010-12-10;60000;"HACK";"EDU";"Nonprofit organization";2010
"1836";"southwestern indiana regional council on aging swirca";2010-12-10;757;"PORT";"NGO";"Nonprofit organization";2010
"1837";"mountain vista medical center";2010-12-13;2284;"PORT";"MED";"Nonprofit organization";2010
"1840";"national financial partners nfp";2006-10-30;4327;"INSD";"BSF";"Nonprofit organization";2006
"1842";"link staffing services";2006-10-27;332000;"STAT";"BSO";"Nonprofit organization";2006
"1843";"twin tier mortgage";2006-10-16;34;"STAT";"BSF";"Nonprofit organization";2006
"1845";"manhattan veterans affairs medical center new york harbor health care system";2006-10-20;1600;"PORT";"MED";"Nonprofit organization";2006
"1846";"starbucks corp";2006-11-03;60080;"PORT";"BSR";"Nonprofit organization";2006
"1847";"administration for children s services";2006-11-20;200;"PHYS";"GOV";"Nonprofit organization";2006
"1848";"boeing co";2006-11-15;762;"PORT";"BSO";"Nonprofit organization";2006
"1849";"kaiser permanente colorado skyline and southwest offices";2006-11-28;38000;"PORT";"MED";"Nonprofit organization";2006
